Tue Nov 19 07:44:49 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue Nov 19 07:44:55 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue Nov 19 07:45:55 2019 | SERIAL_read | It couldn't read serial port due to timer interrupt
Tue Nov 19 07:46:55 2019 | SERIAL_read | It couldn't read serial port due to timer interrupt
Tue Nov 19 07:47:12 2019 | suddenStop | Collector was closed
Tue Nov 19 07:48:50 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue Nov 19 07:48:56 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue Nov 19 07:49:56 2019 | SERIAL_read | It couldn't read serial port due to timer interrupt
Tue Nov 19 07:50:56 2019 | SERIAL_read | It couldn't read serial port due to timer interrupt
Tue Nov 19 07:51:11 2019 | suddenStop | Collector was closed
Tue Nov 19 07:53:16 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue Nov 19 07:53:22 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue Nov 19 07:54:08 2019 | suddenStop | Collector was closed
Tue Nov 19 07:54:36 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue Nov 19 07:54:42 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue Nov 19 07:55:38 2019 | suddenStop | Collector was closed
Tue Nov 19 07:56:17 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue Nov 19 07:56:23 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue Nov 19 07:57:22 2019 | suddenStop | Collector was closed
Tue Nov 19 07:57:42 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue Nov 19 07:57:48 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue Nov 19 07:58:48 2019 | SERIAL_read | It couldn't read serial port due to timer interrupt
Tue Nov 19 07:58:50 2019 | suddenStop | Collector was closed
